contract,contract_name
0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT
0x6b175474e89094c44da98b954eedeac495271d0f,DAI
0x0000000000085d4780B73119b644AE5ecd22b376,TUSD
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,cUSDT
0x8e870d67f660d95d5be530380d0ec0bd388289e1,Paxos Standard
0x16c9cf62d8dac4a38fb50ae5fa5d51e9170f3179,dForce USDC
0x02285acaafeb533e03a7306c55ec031297df9224,dForce DAI
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,wBTC
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,wETH
0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,renBTC
0x0316EB71485b0Ab14103307bf65a021042c6d380,Huobi BTC
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI
0xba100000625a3754423978a60c9317c58a424e3d,BAL
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT
0xD533a949740bb3306d119CC777fa900bA034cd52,CRV
0xB8BAa0e4287890a5F79863aB62b7F175ceCbD433,SWRV
0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,sushi
0xdd974d5c2e2928dea5f71b9825b8b646686bd200,KNC
0x68a3637bA6E75c0f66B61A42639c4e9fCD3D4824,Moon
0xcc573dcde9a25e7094980c349d3997dc1c57eb79,HIS
0xc00e94cb662c3520282e6f5717214004a7f26888,comp
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR
0x56d811088235F11C8920698a204A5010a788f4b3,bZx Protocol Token
0x1FCdcE58959f536621d76f5b7FfB955baa5A672F,ForTube
0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,yearn.finance YFI
0xE8Bb7BE15c495DB1310412F95Dec559bEFC066e1,YFII.FINANCE YFII
0x01b0Fa10144F8D2D37Bd3baEA25eD1EbE2Be5a09,YFV
0x322124122df407b0d0d902cb713b3714fb2e2e1f,Soft.Yearn
0xaba8cac6866b83ae4eec97dd07ed254282f6ad8a,YAMv2 Yam.Finance
0x2ba592F78dB6436527729929AAf6c908497cB200,Cream.finance Cream
0xd46ba6d942050d489dbd938a2c909a5d5039a161,Amplforth
0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0,dForce
0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,BAND
0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,SNX
0x0d438f3b5175bebc262bf23753c1e53d03432bde,Wrapped NXM
0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,NXM
0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,NMR
0x4e352cF164E64ADCBad318C3a1e222E9EBa4Ce42,MCDEX Token
0x408e41876cccdc0f92210600ef50372656052a38,REN
0x514910771af9ca656af840dff83e8264ecf986ca,ChainLink
0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,OMG
0xc9859fccc876e6b4b3c749c5d29ea04f48acb74f,Ino Coin
0x960b236A07cf122663c4303350609A66A7B288C0,Aragon
0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,BandToken
0x6f259637dcd74c767781e37bc6133cd6a68aa161,HBTC
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB
0x75231f58b43240c9718dd58b4967c5114342a86c,OKB
